diet,why_diet
Omnivore,I was raised this way. I like the taste of meat. I worry about not being able to get enough iron and protein from a vegetarian diet. I find vegetarian meals bland.
Omnivore,"Simplicity, nutritional requirements"
Vegan,Ethical reasons
Vegan,"Animal rights 
Environment"
Vegan,"Ethical, and the animals"
Omnivore,"I was raised eating an omnivore diet which is the main reason although as an adult my diet has changed drastically, eating what I deem a healthy diet for me. Another huge reason is the availability of food of an omnivore diet, especially when eating out. There's such a huge range versus what can be a very limited vegan or even vegetarian range."
Vegan,"'-Moral reasons; the exploitation and slaughtering of animals is absolutely disgusting and appalling.
-Environment; the production of meat and dairy products wreak havoc on our environment and is not sustainable in the slightest.
-Health; Cutting out all meat and dairy has made me so much healthier."
Omnivore,It was how I was raised
Vegan,Ethical
Omnivore,"Brought up with this diet, and can’t really be bothered learning how to be healthy on a different diet (e.g., what substitutes I’d need to eat to replace meat)"
Vegan,"Environmental, health and ethical."
Vegan,"For the sake of the animals, the environment and my health"
Vegan,"Health
Environment 
Animal welfare"
Vegan,"So that I don’t contribute to the exploitation and torture of animals, purely just for the purposes of my taste buds and fashion"
Vegan,I have an aversion to suffering so I choose to limit my involvement in the suffering of others
Vegan,Animals are sentient feeling beings with the right to their life
Omnivore,"Taste, upbringing"
Omnivore,"Freedom of choice and convenience. Nothing against the taste of all foods and will willingly eat vegan food if they're available, but won't let my diet restrain me in my selection."
Vegan,Stand against animal cruelty
Vegetarian,Environmental Sustainability
Omnivore,Health mainly. I’ve got many allergies and don’t see any reason to cut out other food groups. Plus I’m not a huge lover of vegetables so meat is a main source of food for me
Omnivore,Most of my favorite meals are pasta or meat-based/
Omnivore,"personal taste preference, mostly flexitarian as I eat loads of vegetables, not so much dairy"
Vegan,Ethically I don't believe we need to kill animals to eat as plant based diet can sustain us.
Vegan,Because I don't like to see animals stabbed in the neck. They told me they prefer to live
Omnivore,No specific reason
Omnivore,"It tastes good, variety and it's easier because my whole family are omnivores so I don't have to cook seperate meals."
Omnivore,"Taste preferences, tradition"
Vegan,For the animals
Vegan,"I’m against animal cruelty, and eating plant based is healthy for the body and helps the environment immensely."
Vegan,Ethics - don't think someone should explout animals and make a profit of another's suffering
Vegan,"I stopped eating meat because there came a day where i decided to educate myself and start asking questions about farming and what happens behind the doors of a slaughterhouse. I thought quitting meat would also help a few health issues I was having, it didn’t, and neither did surgery. A year or so later I went vegan, problem solved."
Vegan,"Ethical, followed by health and environmental."
Vegan,Ethical reasons. Vegan for the animals.
Vegetarian,"Prevent cruelty to animals, health and well being,  environmental impact. I am transitioning to vegan."
Vegan,"Ethical reasons such as animal welfare 
Health benefits 
To reduce my environmental impact on the planet"
Vegan,"Animals, health and environment"
Vegan,"Animal rights, environmental, health"
Omnivore,"I grew up vegetarian but is difficult to maintain sufficient and nutrient-intake or healthy weight within my current budget if I exclude free food (which can sometimes include meat) or conviently accessible food of sufficent quality (less common, but given food allergies sometimes this means eating meat too)."
Vegan,Because I don’t believe in harming animals for food
Vegan,I do not wish to contribute to the pain and suffering of innocent sentient beings
Vegan,"Ethical reasons primarily, now health as i have type 1 diabetes and makes me less insulin resistant"
Vegan,"For the animals, to reduce my environmental impact, for health reasons (lactose intolerance and cancer risk decreasing)"
Vegan,"To begin with animal rights, however over the years I have started fighting on behalf on animals and the environment/ climate change implications"
Vegan,1. I do not want to participate in nor contribute to animal cruelty. 2. For the environment and to reduce global warming 3. For my health.
Vegan,Minimising harm to animals and the environment.
Vegan,"For reasons of animal rights, environmental sustainability and personal health and wellbeing"
Vegetarian,"Brought up mainly pescetarian occasionally ate white meat.
Ethical and health reasons as i grew to make my own choice"
Vegan,Animal welfare
Vegan,"Animals, environment, health"
Vegan,Spiritual reasons I don't believe in killing
Vegan,Compassion for the animals
Vegan,"Animals are friends, not food :)"
Vegan,"Health, animal and environmental"
Vegan,"The environment
My health
Andof course the beautiful animals"
Vegan,"Health 
Environmental benefits 
Compassion"
Vegan,"Animal rights, environmentalism, health"
Vegan,For the animals and our environment.
Vegan,"For the animals, for the environment and for my health"
Vegan,Don’t want to participate in animal cruelty
Vegan,Health. Ethics towards animal treatment. Environmental sustainability. And i just feel better!
Vegan,"I love animals - so why would I eat them?! 
I also disagree in taking someone’s life for ones own tastebuds & the exploitation of animals."
Vegan,"The cruel treatment and slaughter of animals, and the impact this has on our health and the environment."
Vegan,"For the animals, for the local environment and for the health of the planet and all its inhabitants."
Vegan,"For the animals, health, planet"
Vegan,Ethical and environmental reasons
Vegan,To avoid harming animals and to be more environmentally friendly.
Vegan,Primarily for ethical reasons and secondarily for health reasons
Vegan,"Cruelty free, environment, health"
Vegan,Animal rights and health
Vegan,Ethical - don't want animals to die for food
Vegan,Primarily animal welfare but also for the environment and health reasons.
Vegan,"1. Value of all life
2. Stop supporting animail cruelty industries
3. I don't need meet and dairy in diet.
Can get all nutrients from plamt based food. (Apart from b12 suppliement)
4. Improves my health tbrough valui g food and being more creative with food choices
5. Climate change"
Vegan,Animal welfare concerns.
Vegan,Ethical and health reasons
Vegan,"Initially they were environmental, that is because of the detriment animal farming is having on Earth. However since going vegan my concern for animal rights has also become a major reason in choosing veganism."
Vegan,For the environmental benefits and because I don’t want animals to needlessly suffer
Vegan,Don’t want to eat animals or have cruelty on my plate
Vegan,"My body doesn’t react well on (red) meat. It causes bloating and constipation. I care about animal welfare, and do not want to contribute to animal cruelty. There are many alternatives available these days, so I do not need to consume animal products. Besides, I don’t particulary enjoy the taste of meat. I also care about the enviroment and feel like animal farming and fishing is harming our planet."
Vegetarian,"Animal cruelty 
Environmental impact 
Healthier"
Vegan,I don’t want to be the reason for another being suffering
Vegan,"Ethical reasons, for the environment, my health and for the sake of all animals."
Vegan,"Against animal cruelty, to help the environment, for my health"
Vegan,"'-Animal Cruelty 
- Do not believe animal products are needed in my body 
-Believe consuming products such as dairy, eggs, meat, etc. can do more harm than good."
Vegan,Firstly for animal welfare secondly for the environment
Vegan,"Ethical reasons, health reasons"
Vegan,"Ethical - no animal should have to die for my food.
Health - 4 auto immune diseases, massive increase with my health when becoming vegan."
Vegan,I believe there are enough foods to sustain us without inflicting pain and misery to animals.
Vegan,Ethical; I love animals far too much to be the reason for their suffering
Vegan,"Health
Environment 
Ethics"
Vegan,For the animals and earth.
Vegan,Wanting to do no harm to animals
Vegan,"Environmental, against animal cruelty, health"
Vegan,"Primarily it is ethical, I believe to my core that no being should be used, mistreated and ultimately killed for a space on my plate.  After jumping down the rabbit hole and learning more about veganism and the plant-based “diet”, I have discovered so many other benefits.  The environmental destruction the factory farming industry causes is ultimately the leading cause of the most prevelant environmental issues we face on this planet.  By making small changes individually we can band together and make dramatic improvements to our world. This sense of unity ignites a true sense of purpose in a world where a lot can seem lost.  I believe finding purpose in doing my part to make the world a better place is the best decision I ever made."
Vegan,"The impact of animal agriculture on the planet and climate change, the health benefits of a vegan diet, and ethical reasons regarding the explotation of animals"
Vegan,"Health benefits, animals suffering, environmental preservation"
Vegetarian,Animals shouldn’t die for food
Vegan,Ethical
Vegan,Animal welfare and environment
Vegan,Ethical reasons
Vegan,Ethical
Vegan,The cruelty of all animals I just can't consume animal products knowing how they are treated
Vegan,I initially started following a plant-based diet due to environmental / sustainability concerns. I would now also say that I am against exploitation of animals so would include that in the reasons.
Vegan,"1. Compassion. I couldn’t kill an animal and therefore, don’t believe that I should pay someone to do it behind closed doors for me and wrap it in cling film. The exploitation of animals in the dairy industry is also disgusting and shameful.
2. Health. I refuse to put meat in my system that is full of hormones.
3. The environment. We are killing this planet with our consumption of animal products."
Vegan,"Health
Environmental 
Compassion"
Vegan,Compassion for the animals
Vegan,Because animals dont deserve to be used and abused. They deserve respect and love like any other living sentient being.
Vegan,"Health, animal welbeing and the environment"
Vegan,Health and ethics.  Once I realised I was ethically compromised by eating animal products I stopped.
Vegan,"No one deserves to be treated the way animals in factory farms are treated. 
No life is more important than another, thus no one has the right to take someone else life away. 
Eating the dead bodies of innocent, tortured babies is beyond wrong. 
Equality. 
feminism. 
"
Vegan,"Health, compassion and environmental effects."
Vegan,"Environmental reasons, followed by animals"
Vegan,"Ethical, environmental and health reasons"
Vegetarian,To reduce cruelty to animals and hopefully reduce the impact of animal agriculture on the planet
Vegan,Eating animal products is terrible for the environment
Vegan,"Ethical, environmental"
Vegan,Initially for health reasons but have become more aware of environmental and animal cruelty
Vegan,"Because I realised that my consumption of animal products conflicted with my values for animal-welfare and the environment (less so for personal health). I disengaged my morals from meat eating by falling back on certain justifications (nice/normal/necessary etc.) but when I saw a video that broke down each of these justifications,  I could no longer fall back on them and had to change my diet."
Vegan,"For the animals, I do not believe in the meat or dairy industry and prefer to not contribute to animals suffering."
Vegan,"Ethical - I don’t believe we have the right to kill and use animals for food, entertainment or clothing"
Vegan,Ethical reasons for the animals and the environment.
Vegan,I believe all lives have value. It's better for the environment and my body
Vegetarian,Environmental reasons and i don't beleive i should kill an animal for no reason many people survive without meat
Vegan,Environmental and ethical reasons
Omnivore,No particular reason apart from it being all I've known
Vegan,"Firstly to avoid harm to animals, secondly to avoid harm to the planet"
Vegan,"Environmental sustainability, health impacts, animal cruelty,"
Vegan,Ethical - animals and environmental
Vegan,Ethical as well as health
Vegan,"For the animals, for the environment, for my health."
Vegan,"I haven’t eaten meat in 6 years, I’ve always avoided it. I hate the taste and I hate the idea that I’m eating what was once a living creature. I’ve been vegan for 3 years as I educated myself on the benefits of eating a plant based diet. I believe that if I can access all of the nutrition that I need from plants then why would I take it from a living creature. I can’t say there’s one particular reason for me deciding to be vegan but all I know is that I’ll never eat animal products again."
Vegan,Ethical and health reasons
Vegan,Compassionate reasons - don't want to eat/support the exploitation of animals
Vegan,"Animal cruelty, Environment, Health, Social responsibility,"
Vegan,Because I love animals and for the health benefits.
Vegan,"Health, environmental and animal welfare."
Vegan,Animal rights
Vegetarian,Completely for the animals
Vegan,Ethics.
Vegan,Ethical and health
Vegan,"Initially it was primarily health - many chronic dieseases are caused by consuming animal products. However, now it’s also environmental and animal rights reasons."
Vegan,"It is the most positive lifestyle choice for the planet as a whole for a vast array of environmental, ethical and health standpoints. It helps to promote peace among all life forms"
Vegetarian,"I do not like the way we treat animals. Most of my meals follow the vegan diet, but I eat vegetarian when I have no other choice."
Vegan,I started as a vegan for a healthier life choice but as I continued doing my research it has now become about the disgusting use of animals in the meat industry and standing up for animal cruelty. X
Vegan,ethical and health reasons
Vegan,Because of the Animal Cruelty in not being vegan.
Vegetarian,No reason to eat meat can survive without it. I couldn’t kill an animal so what right do I have to eat one!
Vegan,Ethical and environmental
Vegan,Ethical reasoning
Vegan,"Animal rights is the main reason
Health 
Environment"
Vegan,"Animal cruelty, environment, health, water preservation"
Vegan,For ethical and health reasons
Vegan,"Ethical, health, environmental"
Vegan,"animals
planet
morals"
Vegan,"I disagree with the consumption and use of animal products on an ethical basis, and also for health reasons"
Vegan,"Animal welfare 1st, health 2nd"
Vegan,Animal welfare and environmentalism
Vegan,"Against animal cruelty, for my health and for the environment"
Vegan,To be ethical towards animals and the environment and align my morals with my actions
Vegan,Environmental and ethical
Vegan,"There is no such thing as ethical slaughter. animals are sentient beings, who feel emotions. Humans can easily live without meat or animal derived foods in their diet, so why wouldn’t we?"
Vegan,"Health, environment and because i care about animals"
Vegan,"I watched the documentary called Lucent and I cried for an hour 20 minutes while I watched it, from that moment I can't eat the flesh of an animal, from there I watch documentrys on dairy and eggs and that lead to starting a vegan diet. I do have chickens and ducks, and we do eat their eggs."
Vegan,Health and ethics
Vegan,"Environmental, ethical"
Vegan,Mainly for the health benefits but also to minimise my environmental impact and not contribute to animal cruelty
Vegan,To save the planet for the beautiful animals that live here with us
Vegan,For the animals. I do not believe that I am entitled to cause death and suffering to sentient beings when I can live a happy and healthy life living off plants.
Vegan,To minimise unnecessary suffering to animals and to the world.
Vegan,"Health, Environmental and Ethical reasons.
Eating animal products doesn't make me feel good physically: causes bloating, fogginess, constipation, acne, weight gain. 
I don't think it's healthy to eat animal products and I also don't want to directly contribute to the slaughter of animals and it's environmental impact."
Vegan,"Veganism is not a diet. It is a way of living which seeks to exclude, as far as is possible and practicable, all forms of exploitation of, and cruelty to, animals for food, clothing or any other purpose"
Vegan,I morally can’t eat meat or support animal cruelty
Vegan,Health and Ethical reasons
Vegan,"I enjoy leading a life that does not involve the unnecessary and inhumane practices eating animals and heir bi-products often envolves, I also like the environmental and health aspects the diet promotes."
Vegetarian,For ethical reasons - around both animal welfare and the environment
Vegan,"Environment, health and ethicS"
Vegan,"For the animals, for my health, for the environment"
Vegan,I believe that animal products do not benefit your body
Vegan,"Born and raised vegan. For the animals mostly, for the environment secondly."
Vegan,"I do not support torture and murder of sentient beings, the animal Agriculture business is terrible for the environment and my health has further improved since going vegan"
Vegan,Ethical
Vegan,For the animals and for health and the environment
Vegan,Compassion for all sentient beings and the environment.
Vegan,"It makes me feel more mentally stable, it has adressed mental health issues over the last year and i just keep feeling better with each day, it has addressed weight issues as well. (I only eat whole foods mostly carbs, fruits, rice some tofu) I love feeling happy and saving animals"
Vegan,For the animals
Vegan,"Animal ethics - choosing to eat plant based food means you are making a choice to decrease your participation in animal cruelty as much as possible. There is no way to eat animals products humanely, and as such it was an easy choice refrain from buying, consuming or encouraging the use of animals."
Vegan,Ethical and health
Vegan,"Cruelty free living 
Also have found vegan 🌱 eating is a best fit for my body and mind."
Vegan,Ethical
Vegan,"Ethics, environment and health."
Vegan,As I don't want to eat any animals or contribute to the suffering of another being. I think that industries like this are unethical and I don't not wish to participate
Vegan,"Veganism is a life style. I went vegan from a vegetarian because of the cruelty in dairy industry. I can still enjoy yummy food with plant based alternatives. Also, with all the harmones injected to animals, dairy and meat isn't healthy for our bodies anyway."
Vegan,health and animal welfare
Vegan,"Environment, animals and health"
Vegan,Firstly it was moral.  Not wanting to eat the tortured flesh of dead animals.  Then i learnt about the health benefits.  So not we (me plus hubby and 2 kids) are plant based vegans and love it.
Vegan,"Dont want to contribute to cruelty and killing of animals.
 health reasons and environmental reasons"
Vegan,ethical reasons
Vegan,Ethical and health reasons. I've been vegetarian my whole life and I feel a large amount of compassion for animals
Vegan,I don't agree with eating animals especially in a day and age where it isn't necessary.
Vegan,Environmental impacts and animal liberation
Vegetarian,"for the animals, i am slowly going vegan"
Vegan,"Ethical, environmental"
Vegan,An ethical choice for the animals
Vegan,"More environmentally friendly than eating as an omnivore. I believe a mothers milk is meant for her own young to develop. I wouldn't eat my dog, how could I eat another animal."
Vegan,"I do not believe that animals are meant to be our slaves. They have no choice in the matter and if they did, you better believe they wouldn't want to end up on someone's plate."
Vegan,Love and compassion for the animals.
Vegan,Environmental mostly
Vegan,"I don’t like causing harm to animals, I have found a vegan diet to be extremely good for my health (mostly whole foods) and I recognise the severe environmental impact that eating meat and animal products has on the earth."
Vegan,"Three main reasons sum up my reasons for following a vegan diet. 
Ethics
Sustainability
Health"
Vegan,"I follow a belief system and not a diet. If I followed a diet then I would say that I have a plant based diet. I am vegan beacause I do not believe that animals should be used for food, clothing, cosmetics or entertainment. My main concern is factory farming of animals."
Vegan,"I’m against al forms of animal cruelty (clearly imprisoning and then eating them is cruel)
Re dairy - I’m not a baby calf or goat, was weaned off greasy milk early on in my life
We don’t “need meat”
Too much meat is linked to a variety of health issues including the top killers of our generation
I went vegan and have never felt better or been healthier: more energy, less sickness, ckeaeee skin, even my hair seems to grow better"
Vegan,1. Ethics 2. Health and the environment
Vegan,"Animal cruelty, environment, health."
Vegan,"Animals, my health and the environment"
Vegan,"Ethics, environment"
Vegetarian,Ethical & environmental
Vegan,"For my health, the environment and of course for the animals."
Vegan,Ethical and environmental
Vegetarian,"Environmental, ethical and health reasons"
Vegan,"Ethical, environmental and health reasons."
Vegetarian,"Can not bring myself to eat meat knowing that it was once a living creature and killed, possibly tortured to satisfy humans"
Vegan,Ethical reasons
Vegan,"It has helped me with my reproductive health and I believe overall that it is better for me. I also really enjoy the other positive aspects that accompany my vegan diet for example, less use of fresh water, minimising the use/harm of animals and I eat a more well rounded diet. 
"
Vegan,I don't want to eat animals.
Vegan,"Originally to avoid animal abuse, now also for environmental reasons and health"
Vegetarian,For health reason mainly but for as long as i remember I have never liked the thought of eating an animal
Vegetarian,"Dislike the taste of meat
The thought of eating an animal creeps me out 
Want to go vegan but find it hard whilst living with parents"
Vegan,"Animals, environment, health"
Omnivore,I like food. All food. Except salad. You don't win friends with salad.
Vegan,For the animals !!
Vegan,My main reason is that I do not support the treatment and killing of animals. I am also vegan because of the detrimental effects meat consumption has on the planet.
Vegan,"Not to contribute to animal cruelty
For health reasons
Because I prefer the taste of plant-based diet. I find the taste of animal products revolting"
Vegan,Animal Welfare Concerns
Vegan,"Ethical - reduce animal suffering
Environmental- reduce environmental impact
Health - increase immunity and general wellbeing"
Vegan,"Animal welfare is the main reason for my choice of diet. I went vegetarian at the age 8, without ever meeting another vegetarian, I didn't even know the word for someone who doesn't eat meat, ai just knew that meat used to be an animal, and I didn't want to eat animals. I went vegan 3 years ago (having already cut dairy and eggs down drastically) as I made the connection that not only did I not want animals to die for my meal, I also didn't want them to be mistreated for it either."
Vegan,"Animal Welfare
Climate Change impact
Health impact"
Vegan,"I try to make ethically conscious choices and to me, that involves avoiding the consumption of animal products to the best of my ability."
Vegan,No animal wanna die /suffer
Vegan,"To begin with, it was for ethical reasons however once I got deeper and deeper its for health and environmental reasons as well!"
Vegan,"Because I don't think us humans have a right to enslave and exploit animals to produce food that we do not need to survive. It causes enormous and unnecessary suffering to the animals, it destroys the environment and is detrimental to our health. It's just plain unethical."
Vegetarian,Mosto the enviroment but also animal right and health
Vegan,"Animal Rights,environment, health"
Vegan,"Mainly ethical purposes regarding animal rights, but also health and environmental reasons"
Vegan,I started my vegan diet 8 years ago due to concerns about the morality of killing animals. However today I follow a vegan diet more-so for the environmental concerns about animal agriculture.
Vegan,For the animals
Vegetarian,"The animals mostly, with a little bit of environmental stuff thrown in, that and I do not yet have the courage i need to go fully vegan"
Vegan,"Ethical and plain common sense.  Consuming animals or animal products is unnecessary in nutritional terms in all but the most extreme environments on the planet. Farming animals, aside from being environmentally unsound, involves tremendous suffering on a huge scale to those we have arbitrarily deemed not worthy of our compassion. Where there is an alternative, there is simply no reasonable justification for not following a vegan diet."
Vegan,"Environmental 
Ethical 
Health"
Vegan,"Health 
Ethics
Animals 
All equally"
Omnivore,Grown up this way
Vegan,"Environmental impacts of animal agriculture, animal abuse, initial weight loss"
Vegan,I don't need to eat animal products and I value animals lives over my taste buds. Also the environmental impact.
Vegan,Because the treatment of animals in animal agriculture is horrifying to me
Vegan,"Ethical reasons. Environmental reasons. The abuse the animals suffer in farming practices is horrific. The fact they are killed much earlier than their normal life expectancy is terrible. I also believe that eating plantbased is better for the planet. And also healthier for us. Can i point out that veganism is a lifestyle, not just a diet :)"
Vegan,"Ethical, environmental and health"
Vegan,"Ethical, health, sustainability"
Vegan,"Ethical mainly, I don't agree with slaughtering an animal for food.  I also believe a vegan lifestyle is good for the planet and your health."
Vegan,For the animals & conseqently the planet.
Omnivore,Creature of habit. Was raised on it.
Vegetarian,I was raised vegetarian (on a wheat and sheep farm!) and my primary reason for choosing to be vegetarian (and vegan at least four days every week) is in relation to animal rights and welfare.
Omnivore,Basically my upbringing and lack of knowledge
Vegan,animal welfare
Vegan,"Primarily as a result of research into reducing risks of chronic disease and early death.  More broadly now, animals and environmental factors as well"
Vegan,"Health, animals, environment, society, justice and balance"
Vegan,"Ethical reasons, i.e. not causing unnecessary harm to animals. Environmental reasons, as animal product consumption is the leading cause for climate change and destruction of the natural world."
Vegan,"At first it was ethical reasons but now health reasons as well, as I have seen the benefits firsthand."
Vegan,"For the animals, my health and the environment."
Vegan,Because animals don't deserve to be murdered and abused for a selfish reason like tastebuds
Vegan,"Animals are not slaves, products or food"
Vegan,Ethical
Vegetarian,Because I don’t want to eat dead animals and I haven’t gotten through the transition to vegan yet
Vegan,Kindness. Animal ethics. Health. Environment.
Vegan,Veganism is not a diet. It is an ehtical lifestyle choice. I do not eat animals flesh or animal derived products because it is insanely cruel and we do not need to eat animals to live a healthy life.
Vegetarian,Meat industry and intensive farming are cruel for the animals and totally unsustainable. I chose not to be a part of it two years ago.
Vegan,"Health, ethical, environmental"
Vegan,"Mainly ethical, but I appreciate the environmental aspects as well."
Vegan,"Due to environmental issues, animal cruelty and health"
Vegan,Using and harming animals in any way is immoral. Humans have no right to use animals. Veganism is the only moral diet. Veganism is also healthier and better for the environment.
Vegan,To stop animal cruelty and to not participate and fund different industries that make a living off doing so. Animals perspective is always put first 🙏🏽
Vegan,"Healthier 
But definitely for the animals mostly they don’t deserve to die under those circumstances just for us to “eat” them 
"
Vegan,"For the animals, for my health and for the planet"
Omnivore,What I was brought up on
Vegan,I am concerned about animal welfare and impact that my diet has on the planet. I believe humans can survive healthily and using less resources by being vegan. I also find that veganism keeps me viewing the world with a compassionate lens. It helps me to eliminate disassociation and investigate more.
Vegan,To not fund animal cruelty
Omnivore,Because that's what I grew up eating although I have previously tried to be vegetarian however I found I can get iron deficient/anaemic without eating red meat so it never lasts.
Vegetarian,"Environmental reasons, I was vegan for two years, and now vegetarian for a year after struggling with health."
